,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
263,20-24,rural,13,public tap/standpipe,12.0,pit latrine with slab,no,no,65.0,0,0,0
264,40-44,rural,13,public tap/standpipe,12.0,pit latrine with slab,no,no,65.0,0,0,2
265,35-39,rural,13,public tap/standpipe,12.0,pit latrine with slab,no,no,65.0,0,1,6
266,45-49,rural,9,rainwater,0.0,no facility/bush/field,no,yes,67.0,1,0,7
267,20-24,rural,2,public tap/standpipe,15.0,ventilated improved pit latrine (vip),no,yes,22.0,1,0,1
268,30-34,rural,8,public tap/standpipe,15.0,no facility/bush/field,no,yes,37.0,0,0,5
269,15-19,rural,8,public tap/standpipe,15.0,no facility/bush/field,no,yes,37.0,0,0,0
270,30-34,rural,7,public tap/standpipe,12.0,no facility/bush/field,no,no,41.0,1,0,4
271,15-19,rural,7,public tap/standpipe,12.0,no facility/bush/field,no,no,41.0,0,0,0
272,20-24,rural,2,public tap/standpipe,25.0,no facility/bush/field,no,no,23.0,0,0,2
273,45-49,rural,7,public tap/standpipe,10.0,flush to septic tank,no,yes,49.0,0,1,7
274,15-19,rural,7,public tap/standpipe,10.0,flush to septic tank,no,yes,49.0,0,0,0
275,15-19,rural,7,public tap/standpipe,10.0,flush to septic tank,no,yes,49.0,0,0,0
276,15-19,rural,10,public tap/standpipe,15.0,no facility/bush/field,no,yes,60.0,0,0,2
277,25-29,rural,10,public tap/standpipe,15.0,no facility/bush/field,no,yes,60.0,0,0,1
278,25-29,rural,4,rainwater,0.0,no facility/bush/field,no,yes,29.0,0,1,4
279,30-34,rural,11,public tap/standpipe,15.0,no facility/bush/field,no,yes,31.0,1,0,5
280,30-34,rural,11,public tap/standpipe,15.0,no facility/bush/field,no,yes,31.0,0,0,3
281,15-19,rural,11,public tap/standpipe,15.0,no facility/bush/field,no,yes,31.0,0,0,1
282,40-44,rural,5,rainwater,0.0,pit latrine without slab/open pit,no,yes,45.0,2,0,6
283,25-29,rural,5,rainwater,0.0,pit latrine without slab/open pit,no,yes,45.0,0,0,2
284,30-34,rural,3,public tap/standpipe,15.0,no facility/bush/field,no,yes,30.0,0,1,3
285,25-29,rural,5,public tap/standpipe,2.0,no facility/bush/field,no,no,29.0,1,0,4
286,20-24,rural,5,public tap/standpipe,2.0,no facility/bush/field,no,no,29.0,1,0,1
287,25-29,rural,5,unprotected spring,15.0,no facility/bush/field,no,no,34.0,1,0,3
288,15-19,rural,2,public tap/standpipe,6.0,no facility/bush/field,no,no,32.0,0,0,0
289,20-24,rural,3,rainwater,0.0,no facility/bush/field,no,yes,27.0,0,0,2
290,35-39,rural,8,piped into dwelling,0.0,pit latrine without slab/open pit,no,no,45.0,0,1,7
291,20-24,rural,8,piped into dwelling,0.0,pit latrine without slab/open pit,no,no,45.0,1,1,3
292,20-24,rural,7,rainwater,0.0,no facility/bush/field,no,yes,58.0,0,0,0
293,30-34,rural,7,rainwater,0.0,no facility/bush/field,no,yes,58.0,3,0,3
294,40-44,rural,6,protected well,40.0,pit latrine without slab/open pit,no,no,41.0,1,1,3
295,25-29,rural,6,protected well,40.0,pit latrine without slab/open pit,no,no,41.0,0,0,0
296,20-24,rural,5,public tap/standpipe,8.0,pit latrine with slab,no,no,24.0,0,2,3
297,15-19,rural,5,public tap/standpipe,8.0,pit latrine with slab,no,no,24.0,0,0,0
298,40-44,rural,7,public tap/standpipe,20.0,no facility/bush/field,no,no,41.0,0,0,5
299,20-24,rural,7,public tap/standpipe,20.0,no facility/bush/field,no,no,41.0,0,0,2
300,15-19,rural,7,public tap/standpipe,20.0,no facility/bush/field,no,no,41.0,0,0,0
301,25-29,rural,6,public tap/standpipe,15.0,no facility/bush/field,no,yes,43.0,0,0,4
302,15-19,rural,6,public tap/standpipe,15.0,no facility/bush/field,no,yes,43.0,0,0,0
303,20-24,rural,24,protected well,30.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,1
304,30-34,rural,24,protected well,30.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,5
305,25-29,rural,24,protected well,30.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,4
306,45-49,rural,24,protected well,30.0,ventilated improved pit latrine (vip),no,yes,68.0,1,1,3
307,45-49,rural,24,protected well,30.0,ventilated improved pit latrine (vip),no,yes,68.0,2,1,7
308,45-49,rural,24,protected well,30.0,ventilated improved pit latrine (vip),no,yes,68.0,2,0,4
309,20-24,rural,4,protected well,60.0,pit latrine with slab,no,yes,30.0,0,0,1
310,25-29,rural,11,protected well,25.0,ventilated improved pit latrine (vip),no,yes,37.0,0,0,2
311,30-34,rural,11,protected well,25.0,ventilated improved pit latrine (vip),no,yes,37.0,0,0,1
312,20-24,rural,5,protected well,60.0,pit latrine with slab,no,yes,70.0,0,0,0
313,45-49,rural,7,protected well,15.0,ventilated improved pit latrine (vip),no,no,47.0,0,0,4
314,25-29,rural,7,protected well,15.0,ventilated improved pit latrine (vip),no,no,47.0,0,0,3
315,35-39,rural,10,protected well,30.0,ventilated improved pit latrine (vip),yes,yes,65.0,0,1,5
316,40-44,rural,10,protected well,30.0,ventilated improved pit latrine (vip),yes,yes,65.0,1,0,7
317,20-24,rural,3,protected well,60.0,pit latrine with slab,no,yes,29.0,0,0,1
318,30-34,rural,11,protected well,15.0,ventilated improved pit latrine (vip),no,yes,50.0,1,0,5
319,30-34,rural,11,protected well,15.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,5
320,40-44,rural,19,protected well,30.0,pit latrine without slab/open pit,no,no,65.0,0,1,6
321,15-19,rural,19,protected well,30.0,pit latrine without slab/open pit,no,no,65.0,0,0,0
322,30-34,rural,19,protected well,30.0,pit latrine without slab/open pit,no,no,65.0,0,0,2
323,30-34,rural,5,protected well,30.0,ventilated improved pit latrine (vip),no,no,52.0,0,0,3
324,30-34,rural,6,protected well,20.0,ventilated improved pit latrine (vip),no,no,45.0,0,0,4
325,30-34,rural,5,protected well,15.0,ventilated improved pit latrine (vip),yes,yes,47.0,0,0,5
326,25-29,rural,3,unprotected well,,pit latrine with slab,no,yes,34.0,0,0,2
327,45-49,rural,7,protected well,15.0,ventilated improved pit latrine (vip),no,yes,35.0,1,0,10
328,45-49,rural,7,protected well,15.0,pit latrine with slab,no,yes,45.0,1,2,8
329,45-49,rural,3,protected well,10.0,ventilated improved pit latrine (vip),no,yes,65.0,2,0,5
330,15-19,rural,13,protected well,30.0,ventilated improved pit latrine (vip),no,no,53.0,0,0,0
331,30-34,rural,13,protected well,30.0,ventilated improved pit latrine (vip),no,no,53.0,1,0,2
332,30-34,rural,7,protected well,5.0,pit latrine without slab/open pit,no,yes,34.0,0,0,2
333,30-34,rural,8,protected well,30.0,ventilated improved pit latrine (vip),no,yes,37.0,0,0,1
334,25-29,rural,11,protected well,30.0,pit latrine with slab,no,yes,42.0,0,0,3
335,25-29,rural,11,protected well,30.0,pit latrine with slab,no,yes,42.0,0,0,5
336,35-39,rural,11,protected well,30.0,ventilated improved pit latrine (vip),no,yes,65.0,0,0,3
337,25-29,rural,4,protected well,30.0,ventilated improved pit latrine (vip),no,yes,26.0,1,0,4
338,30-34,urban,4,protected well,10.0,no facility/bush/field,no,no,67.0,0,0,2
339,20-24,urban,7,protected well,2.0,no facility/bush/field,no,no,35.0,0,0,2
340,30-34,urban,6,protected well,5.0,pit latrine without slab/open pit,no,yes,60.0,0,0,3
341,25-29,urban,8,protected well,10.0,no facility/bush/field,no,no,58.0,2,0,5
342,15-19,urban,3,protected well,10.0,no facility/bush/field,no,no,22.0,0,0,0
343,20-24,urban,2,protected well,10.0,pit latrine with slab,no,yes,22.0,0,0,0
344,30-34,urban,6,protected well,10.0,pit latrine with slab,no,no,32.0,1,1,6
345,45-49,urban,5,protected well,15.0,no facility/bush/field,no,no,54.0,0,0,3
346,20-24,urban,4,protected well,10.0,pit latrine with slab,no,no,54.0,0,0,1
347,45-49,urban,7,protected well,,no facility/bush/field,no,no,67.0,0,0,3
348,35-39,urban,8,protected well,10.0,no facility/bush/field,no,yes,35.0,0,0,4
349,15-19,urban,8,protected well,10.0,no facility/bush/field,no,yes,35.0,0,0,0
350,15-19,urban,4,protected well,10.0,pit latrine with slab,no,no,65.0,0,0,0
351,30-34,urban,5,protected well,10.0,pit latrine without slab/open pit,no,no,35.0,0,0,3
352,45-49,urban,4,protected well,15.0,no facility/bush/field,no,yes,45.0,1,0,5
353,15-19,urban,4,protected well,15.0,no facility/bush/field,no,yes,45.0,0,0,0
354,30-34,urban,7,protected well,10.0,flush to somewhere else,no,yes,49.0,0,0,5
355,25-29,urban,4,protected well,15.0,no facility/bush/field,no,yes,41.0,0,0,1
356,15-19,urban,2,public tap/standpipe,20.0,no facility/bush/field,no,yes,67.0,0,0,0
357,35-39,urban,8,unprotected well,10.0,no facility/bush/field,no,no,37.0,0,0,3
358,35-39,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,ventilated improved pit latrine (vip),no,yes,45.0,1,1,5
359,40-44,rural,4,tube well or borehole,20.0,pit latrine without slab/open pit,no,no,35.0,3,3,9
360,35-39,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,40.0,1,0,8
361,20-24,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,no facility/bush/field,no,no,30.0,0,0,3
362,35-39,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine without slab/open pit,no,yes,35.0,0,0,1
363,20-24,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine without slab/open pit,no,yes,35.0,0,0,1
364,45-49,rural,6,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,47.0,0,0,5
365,20-24,rural,6,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,47.0,2,0,3
366,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,62.0,3,0,5
367,40-44,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,ventilated improved pit latrine (vip),no,no,62.0,0,0,2
368,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,pit latrine with slab,no,no,78.0,0,0,1
369,30-34,rural,6,tube well or borehole,10.0,no facility/bush/field,no,no,30.0,0,0,5
370,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,33.0,1,0,4
371,40-44,rural,6,tube well or borehole,10.0,no facility/bush/field,no,yes,42.0,0,1,4
372,30-34,rural,6,tube well or borehole,10.0,no facility/bush/field,no,yes,42.0,0,0,2
373,35-39,rural,4,tube well or borehole,9.0,no facility/bush/field,no,no,62.0,1,1,5
374,45-49,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,4.0,pit latrine without slab/open pit,no,yes,40.0,2,0,5
375,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,yes,28.0,0,0,3
376,30-34,rural,4,tube well or borehole,5.0,no facility/bush/field,no,yes,30.0,1,0,4
377,25-29,rural,2,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine with slab,no,yes,25.0,1,2,4
378,30-34,rural,5,tube well or borehole,10.0,no facility/bush/field,no,yes,30.0,0,0,5
379,30-34,rural,3,tube well or borehole,5.0,no facility/bush/field,no,no,52.0,1,2,7
380,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,70.0,2,0,3
381,20-24,rural,6,tube well or borehole,10.0,no facility/bush/field,no,yes,55.0,1,1,5
382,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,40.0,1,1,9
383,45-49,rural,8,tube well or borehole,40.0,no facility/bush/field,no,yes,63.0,0,0,4
384,30-34,rural,8,tube well or borehole,40.0,no facility/bush/field,no,yes,63.0,0,1,3
385,35-39,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine without slab/open pit,no,no,35.0,2,1,7
386,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine without slab/open pit,no,no,35.0,0,0,1
387,45-49,rural,5,tube well or borehole,30.0,,no,no,65.0,1,0,4
388,40-44,urban,4,public tap/standpipe,60.0,other,yes,no,40.0,2,3,7
389,25-29,urban,8,public tap/standpipe,30.0,bucket toilet,yes,no,41.0,0,0,0
390,35-39,urban,8,public tap/standpipe,30.0,bucket toilet,yes,no,41.0,1,0,3
391,40-44,urban,10,public tap/standpipe,180.0,flush to somewhere else,no,yes,55.0,0,0,1
392,15-19,urban,10,public tap/standpipe,180.0,flush to somewhere else,no,yes,55.0,0,0,0
393,20-24,urban,10,public tap/standpipe,180.0,flush to somewhere else,no,yes,55.0,0,0,1
394,35-39,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,40.0,0,0,3
395,20-24,urban,5,piped into dwelling,0.0,flush to piped sewer system,yes,yes,27.0,0,0,2
396,40-44,urban,10,piped to yard/plot,0.0,pit latrine without slab/open pit,yes,yes,45.0,0,1,4
397,15-19,urban,10,piped to yard/plot,0.0,pit latrine without slab/open pit,yes,yes,45.0,0,0,0
398,35-39,urban,10,piped to yard/plot,0.0,pit latrine without slab/open pit,yes,yes,45.0,0,0,2
399,25-29,urban,10,piped to yard/plot,0.0,pit latrine without slab/open pit,yes,yes,45.0,0,2,5
400,25-29,urban,8,public tap/standpipe,360.0,other,yes,no,50.0,0,0,5
401,15-19,urban,8,public tap/standpipe,360.0,other,yes,no,50.0,0,0,0
402,20-24,urban,8,public tap/standpipe,120.0,flush to septic tank,no,yes,33.0,0,0,2
403,20-24,urban,5,public tap/standpipe,60.0,flush to somewhere else,yes,yes,29.0,0,0,5
404,45-49,urban,3,public tap/standpipe,60.0,hanging toilet/latrine,no,no,45.0,2,1,6
405,15-19,urban,3,public tap/standpipe,60.0,hanging toilet/latrine,no,no,45.0,0,0,1
406,25-29,urban,5,public tap/standpipe,30.0,flush to somewhere else,yes,yes,44.0,0,0,0
407,20-24,urban,5,public tap/standpipe,30.0,flush to somewhere else,yes,yes,44.0,0,0,0
408,15-19,urban,5,public tap/standpipe,30.0,flush to somewhere else,yes,yes,44.0,0,0,0
409,35-39,urban,11,public tap/standpipe,90.0,pit latrine with slab,yes,yes,42.0,0,0,5
410,20-24,urban,11,public tap/standpipe,90.0,pit latrine with slab,yes,yes,42.0,0,0,1
411,20-24,urban,11,public tap/standpipe,90.0,pit latrine with slab,yes,yes,42.0,0,0,0
412,20-24,urban,11,public tap/standpipe,90.0,pit latrine with slab,yes,yes,42.0,0,0,0
413,35-39,urban,5,public tap/standpipe,20.0,pit latrine without slab/open pit,yes,no,27.0,0,2,5
414,40-44,urban,2,public tap/standpipe,60.0,pit latrine with slab,no,no,40.0,0,0,0
415,30-34,urban,9,public tap/standpipe,20.0,flush to somewhere else,yes,no,37.0,1,1,5
416,30-34,urban,9,public tap/standpipe,20.0,flush to somewhere else,yes,no,37.0,0,3,8
417,30-34,urban,4,public tap/standpipe,30.0,hanging toilet/latrine,yes,yes,27.0,0,1,4
418,35-39,urban,12,public tap/standpipe,40.0,pit latrine without slab/open pit,no,no,36.0,0,0,3
419,25-29,urban,12,public tap/standpipe,40.0,pit latrine without slab/open pit,no,no,36.0,0,0,4
420,15-19,urban,12,public tap/standpipe,40.0,pit latrine without slab/open pit,no,no,36.0,0,0,0
421,30-34,urban,8,public tap/standpipe,90.0,pit latrine without slab/open pit,yes,no,54.0,1,0,6
422,15-19,urban,8,public tap/standpipe,90.0,pit latrine without slab/open pit,yes,no,54.0,0,0,0
423,20-24,urban,11,public tap/standpipe,60.0,hanging toilet/latrine,no,yes,40.0,0,0,0
424,15-19,urban,11,public tap/standpipe,60.0,hanging toilet/latrine,no,yes,40.0,0,0,0
425,45-49,urban,6,public tap/standpipe,30.0,flush to somewhere else,yes,yes,47.0,0,0,7
426,30-34,urban,12,public tap/standpipe,120.0,flush to somewhere else,yes,yes,34.0,0,0,5
427,45-49,urban,12,public tap/standpipe,120.0,flush to somewhere else,yes,yes,34.0,0,0,2
428,15-19,urban,12,public tap/standpipe,120.0,flush to somewhere else,yes,yes,34.0,0,0,1
429,25-29,urban,3,piped into dwelling,0.0,hanging toilet/latrine,yes,no,32.0,0,1,4
430,30-34,urban,6,public tap/standpipe,360.0,flush to somewhere else,yes,no,32.0,1,0,4
431,15-19,urban,6,public tap/standpipe,360.0,flush to somewhere else,yes,no,32.0,0,0,0
432,35-39,urban,6,public tap/standpipe,360.0,flush to somewhere else,yes,no,32.0,0,0,5
433,15-19,urban,7,public tap/standpipe,30.0,hanging toilet/latrine,yes,yes,42.0,1,0,1
434,20-24,urban,6,public tap/standpipe,60.0,other,no,no,25.0,1,0,3
435,45-49,rural,2,unprotected spring,5.0,pit latrine without slab/open pit,no,no,63.0,0,1,3
436,30-34,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,0.0,ventilated improved pit latrine (vip),no,yes,42.0,1,0,3
437,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,0.0,ventilated improved pit latrine (vip),no,yes,42.0,0,0,1
438,25-29,rural,9,unprotected spring,20.0,pit latrine without slab/open pit,no,yes,35.0,1,1,6
439,20-24,rural,9,unprotected spring,5.0,pit latrine without slab/open pit,no,no,34.0,0,0,1
440,40-44,rural,9,unprotected spring,30.0,pit latrine without slab/open pit,no,yes,75.0,1,3,8
441,15-19,rural,9,unprotected spring,30.0,pit latrine without slab/open pit,no,yes,75.0,0,0,0
442,20-24,rural,3,unprotected spring,6.0,pit latrine without slab/open pit,no,no,28.0,0,0,1
443,40-44,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,no,49.0,2,0,5
444,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,0
445,25-29,rural,4,unprotected spring,5.0,pit latrine without slab/open pit,no,no,40.0,0,0,3
446,40-44,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,53.0,1,3,6
447,35-39,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,53.0,1,1,4
448,45-49,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,53.0,1,1,6
449,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,0
450,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,0
451,25-29,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,68.0,0,1,2
452,45-49,rural,4,unprotected spring,6.0,pit latrine without slab/open pit,no,no,55.0,1,1,5
453,15-19,rural,4,unprotected spring,6.0,pit latrine without slab/open pit,no,no,55.0,0,0,0
454,20-24,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,2
455,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,0
456,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,no,28.0,0,1,3
457,35-39,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,2
458,30-34,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,4
459,25-29,rural,6,unprotected spring,5.0,pit latrine without slab/open pit,no,no,34.0,1,1,7
460,35-39,rural,7,unprotected spring,7.0,pit latrine without slab/open pit,no,no,51.0,1,0,7
461,15-19,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,35.0,ventilated improved pit latrine (vip),no,yes,27.0,0,0,2
462,25-29,rural,4,unprotected spring,15.0,pit latrine without slab/open pit,no,yes,38.0,0,0,2
463,20-24,rural,4,unprotected spring,5.0,pit latrine without slab/open pit,no,yes,36.0,0,0,2
464,25-29,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,0.0,ventilated improved pit latrine (vip),no,no,37.0,0,0,1
465,20-24,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,0.0,ventilated improved pit latrine (vip),no,no,37.0,0,0,1
466,15-19,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,19.0,0,0,1
467,35-39,urban,7,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,hanging toilet/latrine,no,yes,43.0,1,0,1
468,35-39,urban,7,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,hanging toilet/latrine,no,yes,43.0,2,0,3
